,payment_type,payment_type_id,payment_type_name
595,1,595,Credit card
596,1,596,Credit card
597,1,597,Credit card
598,1,598,Credit card
599,1,599,Credit card
600,1,600,Credit card
601,1,601,Credit card
602,2,602,Cash
603,2,603,Cash
604,1,604,Credit card
605,1,605,Credit card
606,1,606,Credit card
607,1,607,Credit card
608,1,608,Credit card
609,1,609,Credit card
610,1,610,Credit card
611,1,611,Credit card
612,2,612,Cash
613,1,613,Credit card
614,1,614,Credit card
615,1,615,Credit card
616,1,616,Credit card
617,1,617,Credit card
618,2,618,Cash
619,2,619,Cash
620,2,620,Cash
621,2,621,Cash
622,1,622,Credit card
623,1,623,Credit card
624,1,624,Credit card
625,1,625,Credit card
626,2,626,Cash
627,2,627,Cash
628,2,628,Cash
629,1,629,Credit card
630,2,630,Cash
631,1,631,Credit card
632,1,632,Credit card
633,1,633,Credit card
634,1,634,Credit card
635,2,635,Cash
636,2,636,Cash
637,1,637,Credit card
638,1,638,Credit card
639,1,639,Credit card
640,1,640,Credit card
641,2,641,Cash
642,1,642,Credit card
643,1,643,Credit card
644,1,644,Credit card
645,1,645,Credit card
646,1,646,Credit card
647,1,647,Credit card
648,1,648,Credit card
649,1,649,Credit card
650,2,650,Cash
651,1,651,Credit card
652,2,652,Cash
653,1,653,Credit card
654,2,654,Cash
655,2,655,Cash
656,2,656,Cash
657,2,657,Cash
658,2,658,Cash
659,1,659,Credit card
660,1,660,Credit card
661,1,661,Credit card
662,1,662,Credit card
663,2,663,Cash
664,1,664,Credit card
665,1,665,Credit card
666,1,666,Credit card
667,1,667,Credit card
668,2,668,Cash
669,1,669,Credit card
670,1,670,Credit card
671,1,671,Credit card
672,1,672,Credit card
673,1,673,Credit card
674,1,674,Credit card
675,1,675,Credit card
676,1,676,Credit card
677,1,677,Credit card
678,1,678,Credit card
679,1,679,Credit card
680,1,680,Credit card
681,2,681,Cash
682,1,682,Credit card
683,1,683,Credit card
684,1,684,Credit card
685,2,685,Cash
686,1,686,Credit card
687,1,687,Credit card
688,1,688,Credit card
689,2,689,Cash
690,2,690,Cash
691,1,691,Credit card
692,1,692,Credit card
693,1,693,Credit card
694,2,694,Cash
695,1,695,Credit card
696,1,696,Credit card
697,1,697,Credit card
698,2,698,Cash
699,1,699,Credit card
700,1,700,Credit card
701,1,701,Credit card
702,1,702,Credit card
703,1,703,Credit card
704,1,704,Credit card
705,1,705,Credit card
706,1,706,Credit card
707,1,707,Credit card
708,2,708,Cash
709,1,709,Credit card
710,1,710,Credit card
711,1,711,Credit card
712,1,712,Credit card
713,1,713,Credit card
714,1,714,Credit card
715,1,715,Credit card
716,1,716,Credit card
717,1,717,Credit card
718,1,718,Credit card
719,1,719,Credit card
720,1,720,Credit card
721,1,721,Credit card
722,1,722,Credit card
723,1,723,Credit card
724,1,724,Credit card
725,1,725,Credit card
726,2,726,Cash
727,1,727,Credit card
728,1,728,Credit card
729,1,729,Credit card
730,2,730,Cash
731,1,731,Credit card
732,1,732,Credit card
733,2,733,Cash
734,1,734,Credit card
735,2,735,Cash
736,1,736,Credit card
737,2,737,Cash
738,2,738,Cash
739,2,739,Cash
740,2,740,Cash
741,2,741,Cash
742,2,742,Cash
743,1,743,Credit card
744,1,744,Credit card
745,1,745,Credit card
746,2,746,Cash
747,1,747,Credit card
748,1,748,Credit card
749,1,749,Credit card
750,1,750,Credit card
751,1,751,Credit card
752,1,752,Credit card
753,2,753,Cash
754,1,754,Credit card
755,1,755,Credit card
756,1,756,Credit card
757,1,757,Credit card
758,1,758,Credit card
759,2,759,Cash
760,1,760,Credit card
761,1,761,Credit card
762,1,762,Credit card
763,2,763,Cash
764,2,764,Cash
765,2,765,Cash
766,1,766,Credit card
767,1,767,Credit card
768,2,768,Cash
769,2,769,Cash
770,1,770,Credit card
771,1,771,Credit card
772,1,772,Credit card
773,1,773,Credit card
774,2,774,Cash
775,1,775,Credit card
776,2,776,Cash
777,2,777,Cash
778,1,778,Credit card
779,2,779,Cash
780,1,780,Credit card
781,1,781,Credit card
